start, end, duration, assigned time
0;137;19;19
41;276;8;54
35;90;5;76
0;266;24;88
69;327;23;115
54;307;22;140
72;333;21;166
182;411;6;191
156;293;17;213
203;314;5;233

0;44;21;12
0;68;9;35
0;200;25;49
66;339;23;77
58;276;5;118
123;351;19;134
79;228;9;155
85;339;17;171
151;317;10;197
193;479;22;220

0;141;19;4
20;207;13;34
0;212;13;62
62;321;19;78
74;143;21;110
56;364;19;134
105;376;17;170
157;458;26;192
184;332;26;221
247;447;17;251

0;210;20;8
27;114;19;39
51;239;28;67
51;128;3;102
29;284;17;114
53;337;29;132
168;229;29;179
201;315;4;216
153;357;14;230
221;309;13;246

0;32;6;14
0;149;23;29
28;202;10;56
0;173;20;75
88;136;19;102
131;208;26;131
139;406;28;167
200;297;25;201
209;363;3;233
232;389;12;239

0;226;2;8
0;163;14;20
0;167;4;48
53;309;26;67
38;305;15;109
49;358;9;137
63;337;11;159
162;227;29;174
210;383;20;222
239;321;10;254

8;242;16;10
5;215;28;43
26;146;18;73
80;219;19;99
40;242;16;134
123;271;16;157
188;269;27;192
194;407;3;231
215;363;21;254
236;538;21;285

0;193;27;9
0;247;22;43
48;336;26;74
55;230;6;113
54;167;25;135
151;342;13;179
134;460;26;212
200;382;14;239
251;471;14;272
246;434;28;302

2;44;12;4
16;191;12;30
0;280;12;50
0;255;16;65
3;187;12;98
59;253;10;117
66;309;3;139
93;381;24;152
119;445;26;191
163;417;13;237

0;76;6;8
0;191;17;26
0;307;29;61
72;106;11;91
33;218;28;115
74;335;16;158
129;300;29;183
167;254;12;213
203;435;19;245
173;343;19;269

7;138;8;19
37;216;19;40
10;81;4;65
0;131;13;89
80;144;5;110
99;291;10;132
109;335;4;158
109;242;8;169
110;391;24;190
199;382;3;218

0;69;6;16
0;156;24;23
40;203;6;54
12;256;12;68
25;267;29;86
92;228;13;129
59;353;8;152
79;289;10;166
115;223;24;191
195;420;29;220

0;233;14;20
47;202;23;54
34;318;6;78
31;249;28;98
84;183;16;128
125;411;16;156
112;419;23;192
181;321;19;233
170;328;21;260
239;457;16;291

0;193;8;10
25;220;19;29
0;302;11;58
45;231;24;88
57;337;19;116
140;353;7;147
96;249;6;164
173;276;17;184
130;257;18;215
146;382;28;243

0;111;13;14
21;100;7;38
20;201;5;55
27;112;13;75
39;248;7;98
52;211;10;116
60;384;17;136
74;371;3;168
177;418;28;185
175;318;20;231

0;55;25;12
5;164;10;55
42;206;26;67
35;208;2;95
40;345;26;115
78;343;24;143
153;238;25;181
142;422;3;211
169;303;18;225
214;491;8;262

0;219;26;6
0;87;18;36
21;257;5;62
53;189;22;74
23;254;17;98
40;202;3;132
103;388;11;137
148;365;13;151
136;361;28;171
120;274;11;207

0;182;22;1
17;84;12;37
60;263;26;65
108;241;19;110
132;209;12;146
83;294;20;177
198;444;19;207
193;298;14;235
224;476;8;252
172;424;7;261

0;92;12;15
9;90;9;36
0;267;8;47
0;319;17;68
88;203;20;104
137;352;28;143
94;226;21;178
124;237;11;205
153;378;18;224
201;431;29;261

0;179;13;11
20;133;5;31
0;227;24;44
33;325;16;85
73;289;3;111
123;225;20;126
102;206;27;153
156;285;7;184
177;223;21;197
164;432;10;230

0;130;7;17
0;255;10;44
3;162;17;64
57;318;16;98
120;285;2;127
108;185;18;145
82;298;15;181
186;272;26;203
181;352;21;234
241;457;22;260

3;224;20;14
0;192;14;40
7;95;11;71
0;155;19;84
79;315;10;121
87;323;11;143
147;272;14;164
135;358;29;187
155;280;5;233
179;322;20;246

0;36;17;13
0;221;22;36
29;123;23;77
31;143;12;105
83;311;21;129
131;347;19;161
113;402;17;189
201;461;13;211
192;340;3;242
195;289;18;253

0;104;29;19
56;199;10;57
16;319;21;87
34;360;18;111
83;401;28;143
105;373;19;174
166;248;4;205
157;397;10;219
171;343;8;238
241;274;25;248

8;232;28;11
0;279;13;40
12;208;25;57
85;157;2;97
49;338;26;111
47;299;10;143
135;333;7;169
158;202;7;190
182;455;14;213
175;359;3;230

0;172;24;1
0;237;22;38
0;107;26;62
73;250;5;89
2;237;22;98
37;141;6;130
60;315;14;141
135;212;2;172
165;359;25;192
177;487;11;236

0;136;4;16
0;250;17;35
64;323;24;71
58;262;21;96
114;195;25;129
159;232;19;159
194;325;9;198
220;298;2;224
163;456;29;229
197;318;20;259

0;103;7;2
25;35;3;25
12;190;28;37
56;124;12;83
83;136;19;108
104;375;9;129
101;355;19;151
92;201;12;183
133;404;16;204
216;435;27;224

0;167;2;14
0;124;28;24
0;106;21;68
39;205;18;102
105;383;10;134
92;369;21;146
111;389;2;185
113;276;18;190
202;375;27;218
153;444;10;252

0;74;28;7
29;241;5;43
0;135;24;53
70;336;20;88
67;346;18;121
142;200;7;151
90;397;28;164
116;421;11;198
149;297;15;216
178;309;16;234

1;177;21;13
0;107;19;45
2;133;26;84
69;260;5;114
114;286;18;131
140;286;5;162
148;199;10;177
167;438;15;193
179;286;29;227
265;380;25;270

0;92;9;20
17;269;8;39
0;288;3;60
8;124;28;65
22;300;12;112
106;280;23;141
141;253;14;169
122;438;24;189
132;247;20;225
200;353;24;261

0;268;21;13
0;71;25;35
0;239;24;69
56;155;14;99
101;203;16;117
121;200;27;137
130;262;10;174
192;230;18;202
194;409;20;234
228;286;6;273

0;130;21;16
0;168;11;55
71;190;28;86
72;289;16;119
137;292;16;147
117;401;7;176
132;346;5;203
210;324;9;218
203;341;10;230
210;281;3;243

0;93;27;1
40;170;8;43
5;179;24;57
45;236;12;93
107;187;13;125
122;196;26;157
174;257;22;198
169;357;20;238
252;403;16;275
238;541;27;310

0;181;26;6
21;85;29;48
65;312;29;95
38;179;17;130
68;233;2;164
150;341;26;172
127;261;11;205
186;395;14;220
196;356;18;248
267;441;26;286

0;132;13;11
37;294;21;44
30;274;16;69
57;223;16;87
57;266;22;112
88;341;13;144
106;325;18;166
152;224;18;204
154;457;27;230
261;373;25;261

0;193;12;20
0;186;2;44
3;247;21;51
63;157;7;77
18;264;14;91
38;253;17;111
98;356;5;138
122;368;4;144
76;269;10;152
124;211;12;168

0;112;10;13
0;192;14;31
0;154;14;64
14;182;13;89
36;137;25;111
109;250;22;154
114;311;21;190
115;360;23;212
237;423;26;246
211;502;2;287

0;255;17;14
0;235;4;51
0;275;10;61
30;309;18;74
86;235;9;93
108;322;6;108
52;267;7;124
115;240;17;140
109;300;23;167
199;256;22;199

0;50;7;10
0;149;2;22
10;69;22;37
35;95;7;79
57;186;5;103
19;156;9;113
91;288;28;127
101;371;28;164
205;261;12;208
179;413;18;221

0;147;4;2
0;93;18;16
0;149;5;37
0;199;9;44
0;179;7;68
21;329;15;77
9;179;22;104
51;374;27;136
163;250;24;174
204;363;7;206

0;90;21;18
0;221;13;46
32;200;14;76
34;276;8;103
70;232;2;116
65;209;25;130
87;307;7;164
113;286;6;191
122;315;12;217
179;315;4;236

0;111;2;2
0;268;16;16
0;292;18;41
8;102;11;75
49;144;17;91
63;284;9;122
122;304;23;147
137;315;5;173
146;416;8;197
147;473;27;211

0;97;12;15
22;134;14;45
11;229;19;78
40;265;21;117
117;216;9;141
125;310;3;163
162;376;3;177
178;449;23;200
229;343;24;236
242;520;18;272

0;39;6;11
0;127;21;24
0;246;16;61
83;138;25;94
90;148;4;126
142;389;16;149
125;331;27;173
198;377;13;211
184;336;19;227
217;419;12;249

0;262;19;3
0;243;19;34
